Echantillon;Répétition;Echantillon_Repétition;TMG;Ecart-type TMG;T10;T20;T30;T40;T50;T60;T70;T80;T90
A045;1;A045_1;170,28;25,2380664869558;136,5;151,5;156,75;160,5;165,5;168;176,5;183;216,75
A045;2;A045_2;150,260869565217;32,9741184888782;117,75;123;126,75;132;142,5;148;184,5;189;217,5
A046;1;A046_1;155,875;24,0891685925077;132,75;136,5;139,125;141;146,25;150;172,5;176;208,5
A046;2;A046_2;156,125;38,9997909693395;115,875;123;126,75;133,5;142,5;150;183,75;195;226,5
A047;1;A047_1;164,125;35,9834654057762;132,75;141;146,5;149;151,5;159;166,5;172,5;250,5
A047;2;A047_2;159,72;25,0291829670887;130,5;136,5;138,75;144;150,5;153;172,875;180;199,5
A048;1;A048_1;193,666666666667;19,3025447880355;168,75;175,5;190,5;202;210,5;213;217,5;NaN;NaN
A048;2;A048_2;191,5625;10,9115764213976;181,5;189;190,875;193,5;197,25;207;NaN;NaN;NaN
A048;3;A048_3;193,166666666667;21,4811819151226;169,5;177;185,25;192;202,5;210;241,5;NaN;NaN
A048;4;A048_4;190,625;23,8212090373264;165,75;174;182,25;195;208,5;234;NaN;NaN;NaN
A049;1;A049_1;151,125;27,6630541556313;121,5;127,5;131,25;138;143,5;156;163,5;175,5;191,25
A049;2;A049_2;159,12;28,4931570732343;127,5;135;141,5;144;151,5;159;167,25;177;199,5
A050;1;A050_1;166,909090909091;29,6774872041628;130,5;144;154,5;158;166,5;174;181,5;204;NaN
A050;2;A050_2;164,285714285714;24,7732574707947;136,5;147;150,5;153;166,5;174;195,75;201;NaN
A051;1;A051_1;179,347826086957;34,1688437238213;140,25;150;154,5;162;166,5;177;211,5;228;238,5
A051;2;A051_2;172,875;26,8008963185611;138,75;153;161,25;163,5;165,75;172,5;184,5;199,5;225,75
A052;1;A052_1;173,7;24,5637730686558;142,5;154,5;159,75;171;180,75;193,5;201,75;222;191,25
A052;2;A052_2;146,086956521739;24,2279197386334;121,5;127,5;134,25;137;139,125;141;160,5;181,5;191,25
A053;1;A053_1;173,318181818182;25,6057775542131;142,5;156;162,75;168;174,75;178,5;184,5;204;208,5
A053;2;A053_2;147;26,8175654782797;119,25;123;127,875;136,5;145,5;149;152,25;183;208,5
A054;1;A054_1;162,260869565217;25,2122217680674;133,5;145,5;149,25;153;157,875;162;174,75;183;220,5
A054;2;A054_2;163,125;16,7106123531542;140,25;144;154,125;156;160,5;165;170,25;180;187,5
A055;1;A055_1;167,045454545455;29,2826574267778;133,5;141;148,5;152;169,5;175,5;192,75;198;NaN
A055;2;A055_2;143,571428571429;30,7157474735215;112,5;120;128,5;138;142,125;144;157,5;204;NaN
A056;1;A056_1;158,347826086957;22,0446008554809;136,5;144;146,5;154;156,5;159;164,25;169,5;241,5
A056;2;A056_2;143,347826086957;24,6882539160412;121,5;125;128,25;131;134,25;144;148,5;156;217,5
A057;1;A057_1;180,714285714286;33,9398627827851;138,5;141;157,5;177;190,5;204;220,5;228;233,25
